アーキア　　　　　　　　　　　　　　　　あーきあ　　　　　　　　　　　　　　　　,N B.     ,古細菌、真核生物
アーキテクチャー　　　　　　　　　　　　あーきてくちゃー　　　　　　　　　　　　,N 1.     ,
ＲＮＡ　　　　　　　　　　　　　　　　　あーるえぬえー　　　　　　　　　　　　　,N B.     ,ＲＮＡリボ核酸
アールセップ　　　　　　　　　　　　　　あーるせっぷ　　　　　　　　　　　　　　,N 5.     ,包括的経済連携
ＲＣＥＰ　　　　　　　　　　　　　　　　あーるせっぷ　　　　　　　　　　　　　　,N 1.     ,地域的包括的経済連携協定
ＲＴＤ　　　　　　　　　　　　　　　　　あーるてぃーでぃー　　　　　　　　　　　,N B.     ,ＲＥＡＤＹ　ＴＯ　ＤＲＩＮＫ
アイアール　　　　　　　　　　　　　　　あいあーる　　　　　　　　　　　　　　　,N 5.     ,観光集客施設
ＩＲ　　　　　　　　　　　　　　　　　　あいあーる　　　　　　　　　　　　　　　,N 5.     ,観光集客施設
あいうえお　　　　　　　　　　　　　　　あいうえお　　　　　　　　　　　　　　　,N 1.     ,
ＩＡＥＡ　　　　　　　　　　　　　　　　あいえーえーえー　　　　　　　　　　　　,N 5.     ,国際原子力機関
ＩＳＳ　　　　　　　　　　　　　　　　　あいえすえす　　　　　　　　　　　　　　,N B.     ,国際宇宙ステーション
ＩｏＴ　　　　　　　　　　　　　　　　　あいおーてぃー　　　　　　　　　　　　　,N B.     ,様々なモノがインターネットに繋がる仕組みInternet of Things
アイコン　　　　　　　　　　　　　　　　あいこん　　　　　　　　　　　　　　　　,N B.     ,機能を表した絵
アイコンタクト　　　　　　　　　　　　　あいこんたくと　　　　　　　　　　　　　,N 1.     ,ｅｙｅ　ｃｏｎｔａｃｔ
ＩＣＣ　　　　　　　　　　　　　　　　　あいしーしー　　　　　　　　　　　　　　,N 5.     ,国際刑事裁判所
愛想尽かし　　　　　　　　　　　　　　　あいそづかし　　　　　　　　　　　　　　,N 1.  N  ,
愛想笑い　　　　　　　　　　　　　　　　あいそわらい　　　　　　　　　　　　　　,N 1.  N  ,
相対取引　　　　　　　　　　　　　　　　あいたいとりひき　　　　　　　　　　　　,N 1.     ,
ＩＴ　　　　　　　　　　　　　　　　　　あいてぃー　　　　　　　　　　　　　　　,N 1.  P  ,
ＩＤ　　　　　　　　　　　　　　　　　　あいでぃー　　　　　　　　　　　　　　　,N 1.     ,
哀悼の念　　　　　　　　　　　　　　　　あいとうのねん　　　　　　　　　　　　　,N 1.  P  ,
合いの子　　　　　　　　　　　　　　　　あいのこ　　　　　　　　　　　　　　　　,N 1.     ,
合いの手　　　　　　　　　　　　　　　　あいのて　　　　　　　　　　　　　　　　,N 1.     ,
ＩＰＳ　　　　　　　　　　　　　　　　　あいぴーえす　　　　　　　　　　　　　　,N B.     ,Intrusion Prevention System不正侵入防止システム
ＩＰＳ細胞　　　　　　　　　　　　　　　あいぴーえすさいぼう　　　　　　　　　　,N B.     ,Intrusion Prevention System cell
アイフォン　　　　　　　　　　　　　　　あいふぉん　　　　　　　　　　　　　　　,N B.     ,
ｉｐｈｏｎｅ　　　　　　　　　　　　　　あいふぉん　　　　　　　　　　　　　　　,N B.     ,
ｉＰｈｏｎｅＸ　　　　　　　　　　　　　あいほんてん　　　　　　　　　　　　　　,N B.     ,
あいりん　　　　　　　　　　　　　　　　あいりん　　　　　　　　　　　　　　　　,N 7.     ,
アウティング　　　　　　　　　　　　　　あうてぃんぐ　　　　　　　　　　　　　　,N 1.     ,暴露行為
アウトソーシング　　　　　　　　　　　　あうとそーしんぐ　　　　　　　　　　　　,N 1.     ,ｏｕｔｓｏｕｒｃｉｎｇ
アウトバウンド　　　　　　　　　　　　　あうとばうんど　　　　　　　　　　　　　,N 1.     ,outbound
ＯＵＴＰＵＴ　　　　　　　　　　　　　　あうとぷっと　　　　　　　　　　　　　　,N 1.     ,
アウトリーチ　　　　　　　　　　　　　　あうとりーち　　　　　　　　　　　　　　,N 1.     ,Ｏｕｔｒｅａｃｈ訪問支援
アウトレット　　　　　　　　　　　　　　あうとれっと　　　　　　　　　　　　　　,N 1.     ,売れ残り品を割り引いた額で販売する。
青色ＬＥＤ　　　　　　　　　　　　　　　あおいろえるいーでぃー　　　　　　　　　,N B.     ,
青色発光ダイオード　　　　　　　　　　　あおいろはっこうだいおーど　　　　　　　,N B.     ,
青汁　　　　　　　　　　　　　　　　　　あおじる　　　　　　　　　　　　　　　　,N B.     ,
青筋立てて　　　　　　　　　　　　　　　あおすじたてて　　　　　　　　　　　　　,F Y.     ,
あおり運転　　　　　　　　　　　　　　　あおりうんてん　　　　　　　　　　　　　,N 1.  N  ,
アカウンタビリティー　　　　　　　　　　あかうんたびりてぃー　　　　　　　　　　,N 1.     ,情報開示、説明義務
アカウント　　　　　　　　　　　　　　　あかうんと　　　　　　　　　　　　　　　,N 1.     ,利用会員登録
アカペラ　　　　　　　　　　　　　　　　あかぺら　　　　　　　　　　　　　　　　,N 1.     ,伴奏なし
赤米　　　　　　　　　　　　　　　　　　あかまい　　　　　　　　　　　　　　　　,N B.     ,
秋田犬　　　　　　　　　　　　　　　　　あきたいぬ　　　　　　　　　　　　　　　,N 4.     ,
アクアポニック　　　　　　　　　　　　　あくあぽにっく　　　　　　　　　　　　　,N 1.     ,植物が天然の浄化装置
アクアライン　　　　　　　　　　　　　　あくあらいん　　　　　　　　　　　　　　,N 7.     ,自動車専用の有料道路
アクアリウム　　　　　　　　　　　　　　あくありうむ　　　　　　　　　　　　　　,N 1.     ,金魚鑑賞
アクスタ　　　　　　　　　　　　　　　　あくすた　　　　　　　　　　　　　　　　,N B.     ,アクリル・スタンド
悪性黒色腫　　　　　　　　　　　　　　　あくせいこくしょくしゅ　　　　　　　　　,N B.  N  ,メラノーマ
アクチュエーター　　　　　　　　　　　　あくちゅえーたー　　　　　　　　　　　　,N B.     ,ａｃｔｕａｔｏｒ機械的な動作を行う装置
アクティビスト　　　　　　　　　　　　　あくてぃびすと　　　　　　　　　　　　　,N 1.     ,積極的株主
アクティビティー　　　　　　　　　　　　あくてぃびてぃー　　　　　　　　　　　　,N 1.     ,活動や行動
アクティブシニア　　　　　　　　　　　　あくてぃぶしにあ　　　　　　　　　　　　,N 4.     ,
アクティブラーニング　　　　　　　　　　あくてぃぶらーにんぐ　　　　　　　　　　,N 1.     ,自主的学習法
アクハイヤー　　　　　　　　　　　　　　あくはいやー　　　　　　　　　　　　　　,N 1.  P  ,Ａｃｑｕｉ－ｈｉｒｅ優秀な人材を獲得することを目的とした企業買収
アグリゲーター　　　　　　　　　　　　　あぐりげーたー　　　　　　　　　　　　　,N 1.     ,総計
朝タン　　　　　　　　　　　　　　　　　あさたん　　　　　　　　　　　　　　　　,N 1.  P  ,朝タンパク質をとりなさい
あざとかわいい　　　　　　　　　　　　　あざとかわいい　　　　　　　　　　　　　,K  .  P  ,
アジェンダ　　　　　　　　　　　　　　　あじぇんだ　　　　　　　　　　　　　　　,N 1.     ,進行計画
アシストスーツ　　　　　　　　　　　　　あしすとすーつ　　　　　　　　　　　　　,N B.     ,パワードスーツ
アジリティー　　　　　　　　　　　　　　あじりてぃー　　　　　　　　　　　　　　,N 1.     ,agility,敏捷性
預かり金　　　　　　　　　　　　　　　　あずかりきん　　　　　　　　　　　　　　,N 1.     ,
ＡＳＡＰ　　　　　　　　　　　　　　　　あずすーんあずぽしぶる　　　　　　　　　,N 1.     ,ａｓ　ｓｏｏｎ　ａｓ　ｐｏｓｓｉｂｌｅ
アストロバイオロジー　　　　　　　　　　あすとろばいおろじー　　　　　　　　　　,N 1.     ,Ａｓｔｒｏｂｉｏｌｏｇｙ
アスペルガー症候群　　　　　　　　　　　あすぺるがーしょうこうぐん　　　　　　　,N 1.     ,Ａｓｐｅｒｇｅｒ　Ｓｙｎｄｒｏｍｅ発達障がいの一つ
アスペルギルス　　　　　　　　　　　　　あすぺるぎるす　　　　　　　　　　　　　,N 1.     ,真菌症疾病
ＡＳＥＡＮ　　　　　　　　　　　　　　　あせあん　　　　　　　　　　　　　　　　,N 5.     ,東南アジア諸国連合
アセスメント　　　　　　　　　　　　　　あせすめんと　　　　　　　　　　　　　　,N 1.     ,影響予測調査
アセチル化　　　　　　　　　　　　　　　あせちるか　　　　　　　　　　　　　　　,N 1.     ,
アセチルコリン　　　　　　　　　　　　　あせちるこりん　　　　　　　　　　　　　,N 1.     ,Ａｃｅｔｙｌｃｈｏｌｉｎｅ
アセット　　　　　　　　　　　　　　　　あせっと　　　　　　　　　　　　　　　　,N 1.     ,資産
汗びっしょり　　　　　　　　　　　　　　あせびっしょり　　　　　　　　　　　　　,C  .  N  ,
アソシエイト　　　　　　　　　　　　　　あそしえいと　　　　　　　　　　　　　　,N 4.     ,共同経営者
アップサイクル　　　　　　　　　　　　　あっぷさいくる　　　　　　　　　　　　　,N 1.     ,創造的再利用
アップロード　　　　　　　　　　　　　　あっぷろーど　　　　　　　　　　　　　　,N 1.     ,送付
アデニン　　　　　　　　　　　　　　　　あでにん　　　　　　　　　　　　　　　　,N 1.     ,ａｄｅｎｉｎｅ
アデノシン３リン酸　　　　　　　　　　　あでのしんさんりんさん　　　　　　　　　,N 1.     ,ＡＴＰａｄｅｎｏｓｉｎｅ　ｔｒｉｐｈｏｓｐｈａｔｅ
アテンションエコノミー　　　　　　　　　あてんしょんえこのみー　　　　　　　　　,N 1.     ,人々の関心こそが経済的価値を持つ
後出しじゃんけん　　　　　　　　　　　　あとだしじゃんけん　　　　　　　　　　　,N 1.     ,
アドボカシー　　　　　　　　　　　　　　あどぼかしー　　　　　　　　　　　　　　,N 1.     ,擁護・代弁や支持・表明
アドボケイト　　　　　　　　　　　　　　あどぼけいと　　　　　　　　　　　　　　,N 1.     ,代弁者
アドホック　　　　　　　　　　　　　　　あどほっく　　　　　　　　　　　　　　　,N B.     ,「特別な」「暫定的な」
アドレスホッパー　　　　　　　　　　　　あどれすほっぱー　　　　　　　　　　　　,N 1.     ,非定住
アドレナリン　　　　　　　　　　　　　　あどれなりん　　　　　　　　　　　　　　,N 1.     ,神経伝達物質　心拍数や血圧を上げる
アナグラム　　　　　　　　　　　　　　　あなぐらむ　　　　　　　　　　　　　　　,N 1.     ,ａｎａｇｒａｍ文字を並び替えること
アニオン　　　　　　　　　　　　　　　　あにおん　　　　　　　　　　　　　　　　,N 1.     ,
アニサキス　　　　　　　　　　　　　　　あにさきす　　　　　　　　　　　　　　　,N B.     ,
アニマルウェルフェア　　　　　　　　　　あにまるうぇるふぇあ　　　　　　　　　　,N 1.     ,Ａｎｉｍａｌ　ｗｅｌｆａｒｅ
アニマルセラピー　　　　　　　　　　　　あにまるせらぴー　　　　　　　　　　　　,N 1.     ,
アニメーター　　　　　　　　　　　　　　あにめーたー　　　　　　　　　　　　　　,N 4.     ,
アネクドート　　　　　　　　　　　　　　あねくどーと　　　　　　　　　　　　　　,N 1.     ,フレ
アノニマス　　　　　　　　　　　　　　　あのにます　　　　　　　　　　　　　　　,N 1.     ,Ａｎｏｎｙｍｏｕｓ匿名
アバター　　　　　　　　　　　　　　　　あばたー　　　　　　　　　　　　　　　　,N 1.     ,利用者の分身
アヒージョ　　　　　　　　　　　　　　　あひーじょ　　　　　　　　　　　　　　　,N B.     ,
アビオニクス　　　　　　　　　　　　　　あびおにくす　　　　　　　　　　　　　　,N B.     ,Avionics飛行のために使用される電子機器
アビガン　　　　　　　　　　　　　　　　あびがん　　　　　　　　　　　　　　　　,N B.     ,コロナの薬
アフィリエイト　　　　　　　　　　　　　あふぃりえいと　　　　　　　　　　　　　,N 1.     ,成果報酬型広告
アフォーダンス　　　　　　　　　　　　　あふぉーだんす　　　　　　　　　　　　　,N 1.     ,環境の要素から動作が生まれる
あぶく銭　　　　　　　　　　　　　　　　あぶくぜに　　　　　　　　　　　　　　　,N 1.  N  ,
アプダクション　　　　　　　　　　　　　あぷだくしょん　　　　　　　　　　　　　,N 1.     ,結果から遡って原因を推測する思考法
油そば　　　　　　　　　　　　　　　　　あぶらそば　　　　　　　　　　　　　　　,N B.     ,
アプリ　　　　　　　　　　　　　　　　　あぷり　　　　　　　　　　　　　　　　　,N 1.     ,コンピュータープログラム
アベノミクス　　　　　　　　　　　　　　あべのみくす　　　　　　　　　　　　　　,N 1.     ,
アポ電　　　　　　　　　　　　　　　　　あぽでん　　　　　　　　　　　　　　　　,N 1.     ,
アポトーシス　　　　　　　　　　　　　　あぽとーしす　　　　　　　　　　　　　　,N 1.     ,プログラムされた細胞死
甘辛い　　　　　　　　　　　　　　　　　あまからい　　　　　　　　　　　　　　　,K  .  P  ,
雨乞いする　　　　　　　　　　　　　　　あまごいする　　　　　　　　　　　　　　,D 4.     ,
アマゾン　　　　　　　　　　　　　　　　あまぞん　　　　　　　　　　　　　　　　,N 5.     ,
天の川銀河　　　　　　　　　　　　　　　あまのがわぎんが　　　　　　　　　　　　,N 7.     ,
あまびえ　　　　　　　　　　　　　　　　あまびえ　　　　　　　　　　　　　　　　,N 4.     ,疫病封じの妖怪
甘味　　　　　　　　　　　　　　　　　　あまみ　　　　　　　　　　　　　　　　　,N 1.     ,
アマランサス　　　　　　　　　　　　　　あまらんさす　　　　　　　　　　　　　　,N B.     ,ヒユ科の穀物
アミロイドβ　　　　　　　　　　　　　　あみろいどべーた　　　　　　　　　　　　,N B.     ,
アミン　　　　　　　　　　　　　　　　　あみん　　　　　　　　　　　　　　　　　,N B.     ,ａｍｉｎｅ
アメージング　　　　　　　　　　　　　　あめーじんぐ　　　　　　　　　　　　　　,N 1.     ,amazing
アメダス　　　　　　　　　　　　　　　　あめだす　　　　　　　　　　　　　　　　,N B.     ,Automated Meteorological,AMeDAS
アメニズム　　　　　　　　　　　　　　　あめにずむ　　　　　　　　　　　　　　　,N 1.     ,霊的存在
雨柱　　　　　　　　　　　　　　　　　　あめばしら　　　　　　　　　　　　　　　,N 1.     ,局所的豪雨
アモーレ　　　　　　　　　　　　　　　　あもーれ　　　　　　　　　　　　　　　　,N 1.     ,
ＡＹＡ世代　　　　　　　　　　　　　　　あやせだい　　　　　　　　　　　　　　　,N 4.     ,１６歳から３０歳
アラート　　　　　　　　　　　　　　　　あらーと　　　　　　　　　　　　　　　　,N 1.     ,警報
アライアンス　　　　　　　　　　　　　　あらいあんす　　　　　　　　　　　　　　,N 1.     ,提携
アラサー　　　　　　　　　　　　　　　　あらさー　　　　　　　　　　　　　　　　,N 1.     ,
粗熱　　　　　　　　　　　　　　　　　　あらねつ　　　　　　　　　　　　　　　　,N B.     ,
アリアージュ　　　　　　　　　　　　　　ありあーじゅ　　　　　　　　　　　　　　,N 1.  P  ,結婚
アリッサム　　　　　　　　　　　　　　　ありっさむ　　　　　　　　　　　　　　　,N 1.     ,Alyssum
あるがまま　　　　　　　　　　　　　　　あるがまま　　　　　　　　　　　　　　　,C  .     ,
アルゴリズム取引　　　　　　　　　　　　あるごりずむとりひき　　　　　　　　　　,N 1.     ,
アルテミス計画　　　　　　　　　　　　　あるてみすけいかく　　　　　　　　　　　,N 1.     ,有人宇宙飛行計画
アルプス処理水　　　　　　　　　　　　　あるぷすしょりすい　　　　　　　　　　　,N B.     ,
ＡＬＰＳ処理水　　　　　　　　　　　　　あるぷすしょりすい　　　　　　　　　　　,N B.     ,
アルブミン　　　　　　　　　　　　　　　あるぶみん　　　　　　　　　　　　　　　,N B.     ,たんぱく質
アルムナイ　　　　　　　　　　　　　　　あるむない　　　　　　　　　　　　　　　,N 4.     ,卒業生
アロマオイル　　　　　　　　　　　　　　あろまおいる　　　　　　　　　　　　　　,N B.     ,
アロマキャンドル　　　　　　　　　　　　あろまきゃんどる　　　　　　　　　　　　,N B.     ,
アロマジュエル　　　　　　　　　　　　　あろまじゅえる　　　　　　　　　　　　　,N B.     ,
アロマセラピー　　　　　　　　　　　　　あろませらぴー　　　　　　　　　　　　　,N 1.     ,ａｒｏｍａｔｈｅｒａｐｙ
アロマディフューザー　　　　　　　　　　あろまでぃふゅーざー　　　　　　　　　　,N B.     ,空間に香りを拡散させるもの
アロマテラピー　　　　　　　　　　　　　あろまてらぴー　　　　　　　　　　　　　,N 1.     ,
アロマバーナー　　　　　　　　　　　　　あろまばーなー　　　　　　　　　　　　　,N B.     ,
アロマリッチ　　　　　　　　　　　　　　あろまりっち　　　　　　　　　　　　　　,N 1.     ,
アワード　　　　　　　　　　　　　　　　あわーど　　　　　　　　　　　　　　　　,N 1.  P  ,賞、賞品
アンインストールする　　　　　　　　　　あんいんすとーるする　　　　　　　　　　,D 4.     ,
アンガーマネジメント　　　　　　　　　　あんがーまねじめんと　　　　　　　　　　,N 1.     ,Ａｎｇｅｒ　ｍａｎａｇｅｍｅｎｔ人間関係を良くする心理トレーニング
アンクレット　　　　　　　　　　　　　　あんくれっと　　　　　　　　　　　　　　,N B.     ,ａｎｋｌｅｔ
暗号資産　　　　　　　　　　　　　　　　あんごうしさん　　　　　　　　　　　　　,N 1.     ,
暗黒エネルギー　　　　　　　　　　　　　あんこくえねるぎー　　　　　　　　　　　,N B.     ,ｄａｒｋ　ｅｎｒｇｙ
