ああ言う　　　　　　　　　　　　　　　　ああいう　　　　　　　　　　　　　　　　,R  .     ,
ああなる　　　　　　　　　　　　　　　　ああなる　　　　　　　　　　　　　　　　,D R.     ,
相争う　　　　　　　　　　　　　　　　　あいあらそう　　　　　　　　　　　　　　,D W.  NI ,
愛飲する　　　　　　　　　　　　　　　　あいいんする　　　　　　　　　　　　　　,D 4.  PI ,
相打つ　　　　　　　　　　　　　　　　　あいうつ　　　　　　　　　　　　　　　　,D T.   I ,
愛玩する　　　　　　　　　　　　　　　　あいがんする　　　　　　　　　　　　　　,D 4.   I ,
哀願する　　　　　　　　　　　　　　　　あいがんする　　　　　　　　　　　　　　,D 4.   I ,
哀歓を描く　　　　　　　　　　　　　　　あいかんをえがく　　　　　　　　　　　　,D K.     ,
哀感を覚える　　　　　　　　　　　　　　あいかんをおぼえる　　　　　　　　　　　,D 1.     ,
哀感を込める　　　　　　　　　　　　　　あいかんをこめる　　　　　　　　　　　　,D 1.     ,
哀歓を共にする　　　　　　　　　　　　　あいかんをともにする　　　　　　　　　　,D 4.  P  ,
相競う　　　　　　　　　　　　　　　　　あいきそう　　　　　　　　　　　　　　　,D W.  NI ,
愛吟する　　　　　　　　　　　　　　　　あいぎんする　　　　　　　　　　　　　　,D 4.   I ,
愛好する　　　　　　　　　　　　　　　　あいこうする　　　　　　　　　　　　　　,D 4.  PI ,
相呼応する　　　　　　　　　　　　　　　あいこおうする　　　　　　　　　　　　　,D 4.  PM ,
愛顧する　　　　　　　　　　　　　　　　あいこする　　　　　　　　　　　　　　　,D 4.  P  ,
愛護する　　　　　　　　　　　　　　　　あいごする　　　　　　　　　　　　　　　,D 4.   I ,
相異なる　　　　　　　　　　　　　　　　あいことなる　　　　　　　　　　　　　　,D R.   M ,
合言葉にする　　　　　　　　　　　　　　あいことばにする　　　　　　　　　　　　,D 4.     ,
愛顧を頂く　　　　　　　　　　　　　　　あいこをいただく　　　　　　　　　　　　,D K.  P  ,
愛顧を賜る　　　　　　　　　　　　　　　あいこをたまわる　　　　　　　　　　　　,D R.  P  ,
挨拶する　　　　　　　　　　　　　　　　あいさつする　　　　　　　　　　　　　　,D 4.  PI ,
挨拶回りする　　　　　　　　　　　　　　あいさつまわりする　　　　　　　　　　　,D 4.  PI ,
愛し合う　　　　　　　　　　　　　　　　あいしあう　　　　　　　　　　　　　　　,D W.  P  ,
愛着する　　　　　　　　　　　　　　　　あいじゃくする　　　　　　　　　　　　　,D 4.     ,
哀愁が漂う　　　　　　　　　　　　　　　あいしゅうがただよう　　　　　　　　　　,D W.  P  ,
哀愁漂う　　　　　　　　　　　　　　　　あいしゅうただよう　　　　　　　　　　　,D W.  P  ,
哀愁を漂わせる　　　　　　　　　　　　　あいしゅうをただよわせる　　　　　　　　,D 1.  P  ,
愛情が冷える　　　　　　　　　　　　　　あいじょうがひえる　　　　　　　　　　　,D 1.  N  ,
愛情が芽生える　　　　　　　　　　　　　あいじょうがめばえる　　　　　　　　　　,D 1.  P  ,
愛称する　　　　　　　　　　　　　　　　あいしょうする　　　　　　　　　　　　　,D 4.  PI ,
愛唱する　　　　　　　　　　　　　　　　あいしょうする　　　　　　　　　　　　　,D 4.   I ,
愛情を抱く　　　　　　　　　　　　　　　あいじょうをいだく　　　　　　　　　　　,D K.  P  ,
愛情を込める　　　　　　　　　　　　　　あいじょうをこめる　　　　　　　　　　　,D 1.  P  ,
愛情を注ぐ　　　　　　　　　　　　　　　あいじょうをそそぐ　　　　　　　　　　　,D G.  P  ,
相知る　　　　　　　　　　　　　　　　　あいしる　　　　　　　　　　　　　　　　,D R.   M ,
合図する　　　　　　　　　　　　　　　　あいずする　　　　　　　　　　　　　　　,D 4.   I ,
相済む　　　　　　　　　　　　　　　　　あいすむ　　　　　　　　　　　　　　　　,D M.   M ,
愛する　　　　　　　　　　　　　　　　　あいする　　　　　　　　　　　　　　　　,D 5.   I ,
哀請する　　　　　　　　　　　　　　　　あいせいする　　　　　　　　　　　　　　,D 4.   I ,
相席する　　　　　　　　　　　　　　　　あいせきする　　　　　　　　　　　　　　,D 4.   I ,
愛惜する　　　　　　　　　　　　　　　　あいせきする　　　　　　　　　　　　　　,D 4.   I ,
哀惜する　　　　　　　　　　　　　　　　あいせきする　　　　　　　　　　　　　　,D 4.  NI ,
相前後する　　　　　　　　　　　　　　　あいぜんごする　　　　　　　　　　　　　,D 4.   M ,
愛想が尽きる　　　　　　　　　　　　　　あいそうがつきる　　　　　　　　　　　　,D 1.  N  ,
愛蔵する　　　　　　　　　　　　　　　　あいぞうする　　　　　　　　　　　　　　,D 4.  PI ,
愛想尽かす　　　　　　　　　　　　　　　あいそうつかす　　　　　　　　　　　　　,D S.  N  ,
愛想を尽かす　　　　　　　　　　　　　　あいそうをつかす　　　　　　　　　　　　,D S.  N  ,
愛想が尽きる　　　　　　　　　　　　　　あいそがつきる　　　　　　　　　　　　　,D 1.  N  ,
哀訴する　　　　　　　　　　　　　　　　あいそする　　　　　　　　　　　　　　　,D 4.   I ,
愛想尽かしする　　　　　　　　　　　　　あいそづかしする　　　　　　　　　　　　,D 4.  NI ,
愛想笑いする　　　　　　　　　　　　　　あいそわらいする　　　　　　　　　　　　,D 4.  NI ,
愛想を言う　　　　　　　　　　　　　　　あいそをいう　　　　　　　　　　　　　　,D W.     ,
愛想を尽かす　　　　　　　　　　　　　　あいそをつかす　　　　　　　　　　　　　,D S.  N  ,
相対する　　　　　　　　　　　　　　　　あいたいする　　　　　　　　　　　　　　,D 4.   I ,
間食いする　　　　　　　　　　　　　　　あいだぐいする　　　　　　　　　　　　　,D 4.   I ,
相戦う　　　　　　　　　　　　　　　　　あいたたかう　　　　　　　　　　　　　　,D W.   I ,
