愛惜の念　　　　　　　　　　　　　　　　あいせきのねん　　　　　　　　　　　　　,N 1.     ,
哀悼の意　　　　　　　　　　　　　　　　あいとうのい　　　　　　　　　　　　　　,N 1.  P  ,
哀悼の誠　　　　　　　　　　　　　　　　あいとうのまこと　　　　　　　　　　　　,N 1.  P  ,
愛のむち　　　　　　　　　　　　　　　　あいのむち　　　　　　　　　　　　　　　,C  .  P  ,
あうんの呼吸　　　　　　　　　　　　　　あうんのこきゅう　　　　　　　　　　　　,C  .  N  ,
悪の温床　　　　　　　　　　　　　　　　あくのおんしょう　　　　　　　　　　　　,C  .  N  ,
悪の元凶　　　　　　　　　　　　　　　　あくのげんきょう　　　　　　　　　　　　,C  .  N  ,
悪の権化　　　　　　　　　　　　　　　　あくのごんげ　　　　　　　　　　　　　　,C  .  N  ,
悪の巣　　　　　　　　　　　　　　　　　あくのす　　　　　　　　　　　　　　　　,N 1.  N  ,
悪の巣窟　　　　　　　　　　　　　　　　あくのそうくつ　　　　　　　　　　　　　,C  .  N  ,
あくの強い　　　　　　　　　　　　　　　あくのつよい　　　　　　　　　　　　　　,R  .  N  ,
悪の道　　　　　　　　　　　　　　　　　あくのみち　　　　　　　　　　　　　　　,N 1.  N  ,
悪の芽　　　　　　　　　　　　　　　　　あくのめ　　　　　　　　　　　　　　　　,N 1.  N  ,
悪名の高い　　　　　　　　　　　　　　　あくめいのたかい　　　　　　　　　　　　,R  .  N  ,
憧れの的　　　　　　　　　　　　　　　　あこがれのまと　　　　　　　　　　　　　,C  .  P  ,
朝の内　　　　　　　　　　　　　　　　　あさのうち　　　　　　　　　　　　　　　,N 8.     ,
足の甲　　　　　　　　　　　　　　　　　あしのこう　　　　　　　　　　　　　　　,N 7.     ,
頭の天辺　　　　　　　　　　　　　　　　あたまのてっぺん　　　　　　　　　　　　,N 7.     ,
後の祭り　　　　　　　　　　　　　　　　あとのまつり　　　　　　　　　　　　　　,C 8.  N  ,
あの世　　　　　　　　　　　　　　　　　あのよ　　　　　　　　　　　　　　　　　,N 1.  N  ,
あの世行き　　　　　　　　　　　　　　　あのよいき　　　　　　　　　　　　　　　,C  .  N  ,
天の川　　　　　　　　　　　　　　　　　あまのがわ　　　　　　　　　　　　　　　,N  .     ,
畏敬の念　　　　　　　　　　　　　　　　いけいのねん　　　　　　　　　　　　　　,N  .  P  ,
憩いの場　　　　　　　　　　　　　　　　いこいのば　　　　　　　　　　　　　　　,N  .     ,
一日の長　　　　　　　　　　　　　　　　いちじつのちょう　　　　　　　　　　　　,N 1.  P  ,
一望の下もとに　　　　　　　　　　　　　いちぼうのもとに　　　　　　　　　　　　,F Y.  P  ,
一抹の不安　　　　　　　　　　　　　　　いちまつのふあん　　　　　　　　　　　　,N 1.  N  ,
いちるの望み　　　　　　　　　　　　　　いちるののぞみ　　　　　　　　　　　　　,N 1.  P  ,
