相変わらず　　　　　　　　　　　　　　　あいかわらず　　　　　　　　　　　　　　,C  .     ,不変化
あいにく　　　　　　　　　　　　　　　　あいにく　　　　　　　　　　　　　　　　,C  .  N  ,評価,
相部屋　　　　　　　　　　　　　　　　　あいべや　　　　　　　　　　　　　　　　,C  .     ,
あたうかぎり　　　　　　　　　　　　　　あたうかぎり　　　　　　　　　　　　　　,C  .     ,
頭打ち　　　　　　　　　　　　　　　　　あたまうち　　　　　　　　　　　　　　　,C  .     ,
当たり前　　　　　　　　　　　　　　　　あたりまえ　　　　　　　　　　　　　　　,C  .     ,
あっぱれ　　　　　　　　　　　　　　　　あっぱれ　　　　　　　　　　　　　　　　,C  .  N  ,
あまのじゃく　　　　　　　　　　　　　　あまのじゃく　　　　　　　　　　　　　　,C  .  N  ,
あやふや　　　　　　　　　　　　　　　　あやふや　　　　　　　　　　　　　　　　,C  .  N  ,不確実,不確かになる
新た　　　　　　　　　　　　　　　　　　あらた　　　　　　　　　　　　　　　　　,C  .     ,新た／に・な
あらたか　　　　　　　　　　　　　　　　あらたか　　　　　　　　　　　　　　　　,C  .     ,あらたかな　
あらばよし　　　　　　　　　　　　　　　あらばよし　　　　　　　　　　　　　　　,C  .     ,
ありがち　　　　　　　　　　　　　　　　ありがち　　　　　　　　　　　　　　　　,C  .     ,
ありきたり　　　　　　　　　　　　　　　ありきたり　　　　　　　　　　　　　　　,C  .     ,
ありのまま　　　　　　　　　　　　　　　ありのまま　　　　　　　　　　　　　　　,C  .     ,
あるがまま　　　　　　　　　　　　　　　あるがまま　　　　　　　　　　　　　　　,C  .     ,
案外　　　　　　　　　　　　　　　　　　あんがい　　　　　　　　　　　　　　　　,C  .     ,かもしれない,様態
案の定　　　　　　　　　　　　　　　　　あんのじょう　　　　　　　　　　　　　　,C  .     ,
いかが　　　　　　　　　　　　　　　　　いかが　　　　　　　　　　　　　　　　　,C  .  N  ,
いきなり　　　　　　　　　　　　　　　　いきなり　　　　　　　　　　　　　　　　,C  .     ,無前兆
いたちごっこ　　　　　　　　　　　　　　いたちごっこ　　　　　　　　　　　　　　,C  .  N  ,
一番　　　　　　　　　　　　　　　　　　いちばん　　　　　　　　　　　　　　　　,C  .     ,程度副詞としても働く
一緒　　　　　　　　　　　　　　　　　　いっしょ　　　　　　　　　　　　　　　　,C  .     ,
いっぱい　　　　　　　　　　　　　　　　いっぱい　　　　　　　　　　　　　　　　,C  .     ,高程度,量
いっぱいいっぱい　　　　　　　　　　　　いっぱいいっぱい　　　　　　　　　　　　,C  .     ,
意のまま　　　　　　　　　　　　　　　　いのまま　　　　　　　　　　　　　　　　,C  .  P  ,
いまいち　　　　　　　　　　　　　　　　いまいち　　　　　　　　　　　　　　　　,C  .     ,
今のうち　　　　　　　　　　　　　　　　いまのうち　　　　　　　　　　　　　　　,C  .     ,
今まで通り　　　　　　　　　　　　　　　いままでどおり　　　　　　　　　　　　　,C  .     ,
いよいよ　　　　　　　　　　　　　　　　いよいよ　　　　　　　　　　　　　　　　,C  .     ,だ
いわずもがな　　　　　　　　　　　　　　いわずもがな　　　　　　　　　　　　　　,C  .     ,
いんぎん無礼　　　　　　　　　　　　　　いんぎんぶれい　　　　　　　　　　　　　,C  .  N  ,
上から目線　　　　　　　　　　　　　　　うえからめせん　　　　　　　　　　　　　,C  .  N  ,
打ってつけ　　　　　　　　　　　　　　　うってつけ　　　　　　　　　　　　　　　,C  .  P  ,
