ああ言えばこう言う　　　　　　　　　　　ああいえばこういう　　　　　　　　　　　,D W.  N  ,
ああいっても　　　　　　　　　　　　　　ああいっても　　　　　　　　　　　　　　,F Y.     ,
ああだこうだ　　　　　　　　　　　　　　ああだこうだ　　　　　　　　　　　　　　,F Y.  N  ,様態,不平を言う
ああでもないこうでもない　　　　　　　　ああでもないこうでもない　　　　　　　　,K  .  N  ,
相打ちに終わる　　　　　　　　　　　　　あいうちにおわる　　　　　　　　　　　　,D R.  NM ,
哀感が漂う　　　　　　　　　　　　　　　あいかんがただよう　　　　　　　　　　　,D W.  PM ,
哀感を帯びる　　　　　　　　　　　　　　あいかんをおびる　　　　　　　　　　　　,D 1.   M ,
哀感を込める　　　　　　　　　　　　　　あいかんをこめる　　　　　　　　　　　　,D 1.  PI ,
哀感をそそられる　　　　　　　　　　　　あいかんをそそられる　　　　　　　　　　,D 1.  PM ,
哀感をそそる　　　　　　　　　　　　　　あいかんをそそる　　　　　　　　　　　　,D R.  PM ,
哀歓を共に　　　　　　　　　　　　　　　あいかんをともに　　　　　　　　　　　　,F Y.  P  ,
哀歓を共にする　　　　　　　　　　　　　あいかんをともにする　　　　　　　　　　,D 5.  PI ,
哀感を共にする　　　　　　　　　　　　　あいかんをともにする　　　　　　　　　　,D 4.  P  ,
哀感を催す　　　　　　　　　　　　　　　あいかんをもよおす　　　　　　　　　　　,D S.  NM ,
愛嬌がこぼれる　　　　　　　　　　　　　あいきょうがこぼれる　　　　　　　　　　,D 1.  PM ,
愛嬌をふりまく　　　　　　　　　　　　　あいきょうをふりまく　　　　　　　　　　,D K.  P  ,
合言葉にする　　　　　　　　　　　　　　あいことばにする　　　　　　　　　　　　,D 5.  PI ,
愛顧を頂く　　　　　　　　　　　　　　　あいこをいただく　　　　　　　　　　　　,D K.  PM ,
愛顧を賜る　　　　　　　　　　　　　　　あいこをたまわる　　　　　　　　　　　　,D R.  PM ,
あいさつに代える　　　　　　　　　　　　あいさつにかえる　　　　　　　　　　　　,D 1.   I ,
あいさつもそこそこに　　　　　　　　　　あいさつもそこそこに　　　　　　　　　　,F Y.  N  ,
哀愁が漂う　　　　　　　　　　　　　　　あいしゅうがただよう　　　　　　　　　　,D W.  NM ,
哀愁を漂わせる　　　　　　　　　　　　　あいしゅうをただよわせる　　　　　　　　,D 1.  NM ,
相性がいい　　　　　　　　　　　　　　　あいしょうがいい　　　　　　　　　　　　,K  .  N  ,
愛情が感じられる　　　　　　　　　　　　あいじょうがかんじられる　　　　　　　　,D 1.  PM ,
愛情が冷める　　　　　　　　　　　　　　あいじょうがさめる　　　　　　　　　　　,D 1.  NM ,
愛情が注がれる　　　　　　　　　　　　　あいじょうがそそがれる　　　　　　　　　,D 1.  PM ,
愛情が冷える　　　　　　　　　　　　　　あいじょうがひえる　　　　　　　　　　　,D 1.  NM ,
愛情が芽生える　　　　　　　　　　　　　あいじょうがめばえる　　　　　　　　　　,D 1.  PM ,
相性が悪い　　　　　　　　　　　　　　　あいしょうがわるい　　　　　　　　　　　,K  .  N  ,
愛情深い　　　　　　　　　　　　　　　　あいじょうぶかい　　　　　　　　　　　　,K  .  P  ,
愛情を抱く　　　　　　　　　　　　　　　あいじょうをいだく　　　　　　　　　　　,D K.  PI ,
愛情を感じる　　　　　　　　　　　　　　あいじょうをかんじる　　　　　　　　　　,D 1.  PM ,
愛情を込めて　　　　　　　　　　　　　　あいじょうをこめて　　　　　　　　　　　,F Y.  P  ,育てた
愛情を注ぐ　　　　　　　　　　　　　　　あいじょうをそそぐ　　　　　　　　　　　,D G.  PI ,
哀惜の品　　　　　　　　　　　　　　　　あいせきのしな　　　　　　　　　　　　　,N  .  P  ,
哀惜の情　　　　　　　　　　　　　　　　あいせきのじょう　　　　　　　　　　　　,N  .  P  ,
愛惜の念　　　　　　　　　　　　　　　　あいせきのねん　　　　　　　　　　　　　,N  .  P  ,
愛惜の念に堪えない　　　　　　　　　　　あいせきのねんのたえない　　　　　　　　,D 7.  P  ,
愛想がいい　　　　　　　　　　　　　　　あいそうがいい　　　　　　　　　　　　　,K  .  P  ,
愛想が尽きる　　　　　　　　　　　　　　あいそうがつきる　　　　　　　　　　　　,D 1.  NM ,
愛想が悪い　　　　　　　　　　　　　　　あいそうがわるい　　　　　　　　　　　　,K  .  N  ,
愛想もこそも尽きる　　　　　　　　　　　あいそうもこそもつきる　　　　　　　　　,D 1.  NM ,
愛想を言う　　　　　　　　　　　　　　　あいそうをいう　　　　　　　　　　　　　,D W.  NI ,
