ああなる　　　　　　　　　　　　　　　　ああなる　　　　　　　　　　　　　　　　,D R.     ,
哀感を催す　　　　　　　　　　　　　　　あいかんをもよおす　　　　　　　　　　　,D S.  NM ,
愛顧を頂く　　　　　　　　　　　　　　　あいこをいただく　　　　　　　　　　　　,D K.  P  ,
愛顧を賜る　　　　　　　　　　　　　　　あいこをたまわる　　　　　　　　　　　　,D R.  P  ,
哀愁が漂う　　　　　　　　　　　　　　　あいしゅうがただよう　　　　　　　　　　,D W.  N  ,
愛情が注がれる　　　　　　　　　　　　　あいじょうがそそがれる　　　　　　　　　,D 1.  PM ,
愛情込める　　　　　　　　　　　　　　　あいじょうこめる　　　　　　　　　　　　,D 1.  P  ,
愛情を抱く　　　　　　　　　　　　　　　あいじょうをいだく　　　　　　　　　　　,D K.  P  ,
愛情を注ぐ　　　　　　　　　　　　　　　あいじょうをそそぐ　　　　　　　　　　　,D G.  P  ,
愛想が尽きる　　　　　　　　　　　　　　あいそうがつきる　　　　　　　　　　　　,D 1.  N  ,
愛想尽かす　　　　　　　　　　　　　　　あいそうつかす　　　　　　　　　　　　　,D S.  N  ,
愛想もこそも尽きる　　　　　　　　　　　あいそうもこそもつきる　　　　　　　　　,D 1.  NM ,
愛想を尽かす　　　　　　　　　　　　　　あいそうをつかす　　　　　　　　　　　　,D S.  N  ,
愛想が尽きる　　　　　　　　　　　　　　あいそがつきる　　　　　　　　　　　　　,D 1.  N  ,
愛想も小想も尽き果てる　　　　　　　　　あいそもこそもつきはてる　　　　　　　　,D 1.  N  ,
愛想を言う　　　　　　　　　　　　　　　あいそをいう　　　　　　　　　　　　　　,D W.     ,
愛想を尽かす　　　　　　　　　　　　　　あいそをつかす　　　　　　　　　　　　　,D S.  N  ,
あいた口がふさがらない　　　　　　　　　あいたくちがふさがらない　　　　　　　　,D 7.  N  ,
間にたてる　　　　　　　　　　　　　　　あいだにたてる　　　　　　　　　　　　　,D 1.     ,
間に入る　　　　　　　　　　　　　　　　あいだにはいる　　　　　　　　　　　　　,D R.     ,
愛着が湧く　　　　　　　　　　　　　　　あいちゃくがわく　　　　　　　　　　　　,D K.  P  ,
愛着持つ　　　　　　　　　　　　　　　　あいちゃくもつ　　　　　　　　　　　　　,D T.  P  ,
哀調を帯びる　　　　　　　　　　　　　　あいちょうをおびる　　　　　　　　　　　,D 1.  N  ,
相づちを打つ　　　　　　　　　　　　　　あいづちをうつ　　　　　　　　　　　　　,D T.     ,
アイディアが浮かぶ　　　　　　　　　　　あいでぃあがうかぶ　　　　　　　　　　　,D B.  P  ,
アイディアが湧く　　　　　　　　　　　　あいでぃあがわく　　　　　　　　　　　　,D K.  P  ,
相手になる　　　　　　　　　　　　　　　あいてになる　　　　　　　　　　　　　　,D R.     ,
相照らす　　　　　　　　　　　　　　　　あいてらす　　　　　　　　　　　　　　　,D S.   M ,
相手を上げる　　　　　　　　　　　　　　あいてをあげる　　　　　　　　　　　　　,D 1.     ,
合いの手を入れる　　　　　　　　　　　　あいのてをいれる　　　　　　　　　　　　,D 1.   I ,
合間を縫う　　　　　　　　　　　　　　　あいまをぬう　　　　　　　　　　　　　　,D W.     ,
相乱れる　　　　　　　　　　　　　　　　あいみだれる　　　　　　　　　　　　　　,D 1.   M ,
愛をささやく　　　　　　　　　　　　　　あいをささやく　　　　　　　　　　　　　,D K.     ,
青くなる　　　　　　　　　　　　　　　　あおくなる　　　　　　　　　　　　　　　,D R.  N  ,
青写真を描く　　　　　　　　　　　　　　あおじゃしんをえがく　　　　　　　　　　,D K.     ,
青筋が立つ　　　　　　　　　　　　　　　あおすじがたつ　　　　　　　　　　　　　,D T.  N  ,
青筋を立てる　　　　　　　　　　　　　　あおすじをたてる　　　　　　　　　　　　,D 1.  N  ,
青み掛かる　　　　　　　　　　　　　　　あおみがかる　　　　　　　　　　　　　　,D R.   M ,
あお向く　　　　　　　　　　　　　　　　あおむく　　　　　　　　　　　　　　　　,D K.   I ,
あお向ける　　　　　　　　　　　　　　　あおむける　　　　　　　　　　　　　　　,D 1.   I ,
あおりを食う　　　　　　　　　　　　　　あおりをくう　　　　　　　　　　　　　　,D W.  N  ,
あかが抜ける　　　　　　　　　　　　　　あかがぬける　　　　　　　　　　　　　　,D 1.  P  ,
赤くなる　　　　　　　　　　　　　　　　あかくなる　　　　　　　　　　　　　　　,D R.     ,
赤子の手をねじる　　　　　　　　　　　　あかごのてをねじる　　　　　　　　　　　,D R.     ,
赤子の手をひねる　　　　　　　　　　　　あかごのてをひねる　　　　　　　　　　　,D R.     ,
証しが立つ　　　　　　　　　　　　　　　あかしがたつ　　　　　　　　　　　　　　,D T.  P  ,
明かし暮らす　　　　　　　　　　　　　　あかしくらす　　　　　　　　　　　　　　,D S.     ,
赤字を埋める　　　　　　　　　　　　　　あかじをうめる　　　　　　　　　　　　　,D 1.  P  ,
赤字を出す　　　　　　　　　　　　　　　あかじをだす　　　　　　　　　　　　　　,D S.  N  ,
証しを立てる　　　　　　　　　　　　　　あかしをたてる　　　　　　　　　　　　　,D 1.     ,
赤信号がつく　　　　　　　　　　　　　　あかしんごうがつく　　　　　　　　　　　,D K.  N  ,
赤茶ける　　　　　　　　　　　　　　　　あかちゃける　　　　　　　　　　　　　　,D 1.   M ,
あか抜ける　　　　　　　　　　　　　　　あかぬける　　　　　　　　　　　　　　　,D 1.  PM ,
赤恥をかく　　　　　　　　　　　　　　　あかはじをかく　　　　　　　　　　　　　,D K.  N  ,
赤恥をさらす　　　　　　　　　　　　　　あかはじをさらす　　　　　　　　　　　　,D S.  N  ,
赤み掛かる　　　　　　　　　　　　　　　あかみがかる　　　　　　　　　　　　　　,D R.   M ,
赤みが差す　　　　　　　　　　　　　　　あかみがさす　　　　　　　　　　　　　　,D S.  P  ,
赤みを帯びる　　　　　　　　　　　　　　あかみをおびる　　　　　　　　　　　　　,D 1.     ,
明かりがつく　　　　　　　　　　　　　　あかりがつく　　　　　　　　　　　　　　,D K.   M ,
上がり込む　　　　　　　　　　　　　　　あがりこむ　　　　　　　　　　　　　　　,D M.  N  ,
明かりを付ける　　　　　　　　　　　　　あかりをつける　　　　　　　　　　　　　,D 1.   I ,
明るみに出す　　　　　　　　　　　　　　あかるみにだす　　　　　　　　　　　　　,D S.     ,
明るみに出る　　　　　　　　　　　　　　あかるみにでる　　　　　　　　　　　　　,D 1.     ,
赤を入れる　　　　　　　　　　　　　　　あかをいれる　　　　　　　　　　　　　　,D 1.     ,
赤ん坊を取り上げる　　　　　　　　　　　あかんぼうをとりあげる　　　　　　　　　,D 1.     ,
飽きが来る　　　　　　　　　　　　　　　あきがくる　　　　　　　　　　　　　　　,D 3.  N  ,
秋風が立つ　　　　　　　　　　　　　　　あきかぜがたつ　　　　　　　　　　　　　,D T.     ,
秋風が吹く　　　　　　　　　　　　　　　あきかぜがふく　　　　　　　　　　　　　,D K.     ,
空き過ぎる　　　　　　　　　　　　　　　あきすぎる　　　　　　　　　　　　　　　,D 1.  N  ,
諦めが付く　　　　　　　　　　　　　　　あきらめがつく　　　　　　　　　　　　　,D K.  P  ,
あきれ返る　　　　　　　　　　　　　　　あきれかえる　　　　　　　　　　　　　　,D R.  NM ,
悪意に取る　　　　　　　　　　　　　　　あくいにとる　　　　　　　　　　　　　　,D R.  N  ,
悪意に満ちる　　　　　　　　　　　　　　あくいにみちる　　　　　　　　　　　　　,D 1.  N  ,
悪意を抱く　　　　　　　　　　　　　　　あくいをいだく　　　　　　　　　　　　　,D K.  N  ,
悪運が尽きる　　　　　　　　　　　　　　あくうんがつきる　　　　　　　　　　　　,D 1.  N  ,
悪運尽きる　　　　　　　　　　　　　　　あくうんつきる　　　　　　　　　　　　　,D 1.   M ,
あくが抜ける　　　　　　　　　　　　　　あくがぬける　　　　　　　　　　　　　　,D 1.  P  ,
悪事千里を走る　　　　　　　　　　　　　あくじせんりをはしる　　　　　　　　　　,D R.  N  ,
悪臭を放つ　　　　　　　　　　　　　　　あくしゅうをはなつ　　　　　　　　　　　,D T.  N  ,
握手を交わす　　　　　　　　　　　　　　あくしゅをかわす　　　　　　　　　　　　,D S.  P  ,
握手を求める　　　　　　　　　　　　　　あくしゅをもとめる　　　　　　　　　　　,D 1.     ,
悪循環に陥る　　　　　　　　　　　　　　あくじゅんかんにおちいる　　　　　　　　,D R.  N  ,
悪事を重ねる　　　　　　　　　　　　　　あくじをかさねる　　　　　　　　　　　　,D 1.  N  ,
悪事を成す　　　　　　　　　　　　　　　あくじをなす　　　　　　　　　　　　　　,D S.  N  ,
悪事を働く　　　　　　　　　　　　　　　あくじをはたらく　　　　　　　　　　　　,D K.  N  ,
アクセントが下がる　　　　　　　　　　　あくせんとがさがる　　　　　　　　　　　,D R.     ,
アクセントを置く　　　　　　　　　　　　あくせんとをおく　　　　　　　　　　　　,D K.     ,
アクセントを下げる　　　　　　　　　　　あくせんとをさげる　　　　　　　　　　　,D 1.     ,
悪態をつく　　　　　　　　　　　　　　　あくたいをつく　　　　　　　　　　　　　,D K.  NI ,
悪に染まる　　　　　　　　　　　　　　　あくにそまる　　　　　　　　　　　　　　,D R.  N  ,
あぐねる　　　　　　　　　　　　　　　　あぐねる　　　　　　　　　　　　　　　　,D 1.  NM ,
悪の芽を摘む　　　　　　　　　　　　　　あくのめをつむ　　　　　　　　　　　　　,D M.  P  ,
あくびが出る　　　　　　　　　　　　　　あくびがでる　　　　　　　　　　　　　　,D 1.  N  ,
あくびをかみ殺す　　　　　　　　　　　　あくびをかみころす　　　　　　　　　　　,D S.     ,
あくびを誘う　　　　　　　　　　　　　　あくびをさそう　　　　　　　　　　　　　,D W.  N  ,
悪風に染まる　　　　　　　　　　　　　　あくふうにそまる　　　　　　　　　　　　,D R.  N  ,
悪夢からさめる　　　　　　　　　　　　　あくむからさめる　　　　　　　　　　　　,D 1.  P  ,
悪夢にうなされる　　　　　　　　　　　　あくむにうなされる　　　　　　　　　　　,D 1.  N  ,
悪名がとどろく　　　　　　　　　　　　　あくめいがとどろく　　　　　　　　　　　,D K.  N  ,
胡座をかく　　　　　　　　　　　　　　　あぐらをかく　　　　　　　　　　　　　　,D K.     ,
あぐらを組む　　　　　　　　　　　　　　あぐらをくむ　　　　　　　　　　　　　　,D M.     ,
悪を成す　　　　　　　　　　　　　　　　あくをなす　　　　　　　　　　　　　　　,D S.  N  ,
あくを抜かれる　　　　　　　　　　　　　あくをぬかれる　　　　　　　　　　　　　,D 1.  PM ,
あくを抜く　　　　　　　　　　　　　　　あくをぬく　　　　　　　　　　　　　　　,D K.  P  ,
揚げ足を取る　　　　　　　　　　　　　　あげあしをとる　　　　　　　　　　　　　,D R.  N  ,
明けきる　　　　　　　　　　　　　　　　あけきる　　　　　　　　　　　　　　　　,D R.  PM ,
明け暮れる　　　　　　　　　　　　　　　あけくれる　　　　　　　　　　　　　　　,D 1.     ,
上げ潮に乗る　　　　　　　　　　　　　　あげしおにのる　　　　　　　　　　　　　,D R.  P  ,
明け初める　　　　　　　　　　　　　　　あけそめる　　　　　　　　　　　　　　　,D 1.   M ,
開けっ放す　　　　　　　　　　　　　　　あけっぱなす　　　　　　　　　　　　　　,D S.   I ,
あげつらう　　　　　　　　　　　　　　　あげつらう　　　　　　　　　　　　　　　,D W.  NI ,
上げ止まる　　　　　　　　　　　　　　　あげどまる　　　　　　　　　　　　　　　,D R.   I ,
朱に染まる　　　　　　　　　　　　　　　あけにそまる　　　　　　　　　　　　　　,D R.     ,
開け放す　　　　　　　　　　　　　　　　あけはなす　　　　　　　　　　　　　　　,D S.   I ,
開け放つ　　　　　　　　　　　　　　　　あけはなつ　　　　　　　　　　　　　　　,D T.   I ,
明け放れる　　　　　　　　　　　　　　　あけはなれる　　　　　　　　　　　　　　,D 1.   M ,
開け払う　　　　　　　　　　　　　　　　あけはらう　　　　　　　　　　　　　　　,D W.   I ,
開け広げる　　　　　　　　　　　　　　　あけひろげる　　　　　　　　　　　　　　,D 1.   I ,
明け渡す　　　　　　　　　　　　　　　　あけわたす　　　　　　　　　　　　　　　,D S.   I ,
