ああ　　　　　　　　　　　　　　　　　　ああ　　　　　　　　　　　　　　　　　　,A  .     ,
ああら　　　　　　　　　　　　　　　　　ああら　　　　　　　　　　　　　　　　　,A  .     ,
あいたっ　　　　　　　　　　　　　　　　あいたっ　　　　　　　　　　　　　　　　,A  .  N  ,
あしからず　　　　　　　　　　　　　　　あしからず　　　　　　　　　　　　　　　,A  .     ,
あちち　　　　　　　　　　　　　　　　　あちち　　　　　　　　　　　　　　　　　,A  .     ,
侮るなかれ　　　　　　　　　　　　　　　あなどるなかれ　　　　　　　　　　　　　,A  .     ,
あのさ　　　　　　　　　　　　　　　　　あのさ　　　　　　　　　　　　　　　　　,A  .     ,
あのですね　　　　　　　　　　　　　　　あのですね　　　　　　　　　　　　　　　,A  .     ,
あはは　　　　　　　　　　　　　　　　　あはは　　　　　　　　　　　　　　　　　,A  .     ,
あははっ　　　　　　　　　　　　　　　　あははっ　　　　　　　　　　　　　　　　,A  .     ,
あら　　　　　　　　　　　　　　　　　　あら　　　　　　　　　　　　　　　　　　,A  .     ,
あらあら　　　　　　　　　　　　　　　　あらあら　　　　　　　　　　　　　　　　,A  .     ,
あらっ　　　　　　　　　　　　　　　　　あらっ　　　　　　　　　　　　　　　　　,A  .     ,
あらら　　　　　　　　　　　　　　　　　あらら　　　　　　　　　　　　　　　　　,A  .     ,
ありがと　　　　　　　　　　　　　　　　ありがと　　　　　　　　　　　　　　　　,A  .  P  ,
ありがとうございました　　　　　　　　　ありがとうございました　　　　　　　　　,A  .  P  ,
ありがとうございます　　　　　　　　　　ありがとうございます　　　　　　　　　　,A  .  P  ,
ありゃ　　　　　　　　　　　　　　　　　ありゃ　　　　　　　　　　　　　　　　　,A  .     ,
あるある　　　　　　　　　　　　　　　　あるある　　　　　　　　　　　　　　　　,A  .     ,
あれっ　　　　　　　　　　　　　　　　　あれっ　　　　　　　　　　　　　　　　　,A  .  N  ,
あれれ　　　　　　　　　　　　　　　　　あれれ　　　　　　　　　　　　　　　　　,A  .  N  ,
いいかげんにしろ　　　　　　　　　　　　いいかげんにしろ　　　　　　　　　　　　,A  .  N  ,
いい気なもんだ　　　　　　　　　　　　　いいきなもんだ　　　　　　　　　　　　　,A  .     ,
いいね　　　　　　　　　　　　　　　　　いいね　　　　　　　　　　　　　　　　　,A  .     ,
いいよ　　　　　　　　　　　　　　　　　いいよ　　　　　　　　　　　　　　　　　,A  .     ,
いいよね　　　　　　　　　　　　　　　　いいよね　　　　　　　　　　　　　　　　,A  .     ,
以下略　　　　　　　　　　　　　　　　　いかりゃく　　　　　　　　　　　　　　　,A  .     ,
いかん　　　　　　　　　　　　　　　　　いかん　　　　　　　　　　　　　　　　　,A  .  N  ,
いざ　　　　　　　　　　　　　　　　　　いざ　　　　　　　　　　　　　　　　　　,A  .     ,
いざさらば　　　　　　　　　　　　　　　いざさらば　　　　　　　　　　　　　　　,A  .     ,
いただきます　　　　　　　　　　　　　　いただきます　　　　　　　　　　　　　　,A  .  N  ,
痛っ　　　　　　　　　　　　　　　　　　いたっ　　　　　　　　　　　　　　　　　,A  .  N  ,
いってきます　　　　　　　　　　　　　　いってきます　　　　　　　　　　　　　　,A  .     ,
いな　　　　　　　　　　　　　　　　　　いな　　　　　　　　　　　　　　　　　　,A  .     ,
うそうそ　　　　　　　　　　　　　　　　うそうそ　　　　　　　　　　　　　　　　,A  .     ,
うまっ　　　　　　　　　　　　　　　　　うまっ　　　　　　　　　　　　　　　　　,A  .  P  ,
うわっ　　　　　　　　　　　　　　　　　うわっ　　　　　　　　　　　　　　　　　,A  .     ,
うん　　　　　　　　　　　　　　　　　　うん　　　　　　　　　　　　　　　　　　,A  .     ,
えらいこっちゃ　　　　　　　　　　　　　えらいこっちゃ　　　　　　　　　　　　　,A  .  N  ,
えらいやっちゃ　　　　　　　　　　　　　えらいやっちゃ　　　　　　　　　　　　　,A  .  N  ,
おあいにくさま　　　　　　　　　　　　　おあいにくさま　　　　　　　　　　　　　,A  .     ,
おおきに　　　　　　　　　　　　　　　　おおきに　　　　　　　　　　　　　　　　,A  .  P  ,
おかえり　　　　　　　　　　　　　　　　おかえり　　　　　　　　　　　　　　　　,A  .     ,
おかえりなさい　　　　　　　　　　　　　おかえりなさい　　　　　　　　　　　　　,A  .     ,
お陰様で　　　　　　　　　　　　　　　　おかげさまで　　　　　　　　　　　　　　,A  .  P  ,
お加減はいかがですか　　　　　　　　　　おかげんはいかがですか　　　　　　　　　,A  .     ,
お変わりありませんか　　　　　　　　　　おかわりありませんか　　　　　　　　　　,A  .  P  ,
お元気ですか　　　　　　　　　　　　　　おげんきですか　　　　　　　　　　　　　,A  .     ,
お言葉を返すようですが　　　　　　　　　おことばをかえすようですが　　　　　　　,A  .     ,
お先に失礼します　　　　　　　　　　　　おさきにしつれいします　　　　　　　　　,A  .     ,
お時間を取らせまして　　　　　　　　　　おじかんをとらせまして　　　　　　　　　,A  .  N  ,
お釈迦様でも御存じあるまい　　　　　　　おしゃかさまでごぞんじあるまい　　　　　,A  .     ,
お釈迦様でも気がつくまい　　　　　　　　おしゃかさまでもきがつくまい　　　　　　,A  .     ,
お邪魔いたします　　　　　　　　　　　　おじゃまいたします　　　　　　　　　　　,A  .  P  ,
おせわさまです　　　　　　　　　　　　　おせわさまです　　　　　　　　　　　　　,A  .     ,
お世話になっております　　　　　　　　　おせわになっております　　　　　　　　　,A  .  P  ,
おせわになっております　　　　　　　　　おせわになっております　　　　　　　　　,A  .     ,
お世話になります　　　　　　　　　　　　おせわになります　　　　　　　　　　　　,A  .  P  ,
恐れいりました　　　　　　　　　　　　　おそれいりました　　　　　　　　　　　　,A  .     ,
恐れいります　　　　　　　　　　　　　　おそれいります　　　　　　　　　　　　　,A  .     ,
恐れいりますが　　　　　　　　　　　　　おそれいりますが　　　　　　　　　　　　,A  .     ,
恐れながら　　　　　　　　　　　　　　　おそれながら　　　　　　　　　　　　　　,A  .  N  ,
お大事に　　　　　　　　　　　　　　　　おだいじに　　　　　　　　　　　　　　　,A  .     ,
お試しあれ　　　　　　　　　　　　　　　おためしあれ　　　　　　　　　　　　　　,A  .     ,
おたんこなす　　　　　　　　　　　　　　おたんこなす　　　　　　　　　　　　　　,A  .  N  ,
お疲れさま　　　　　　　　　　　　　　　おつかれさま　　　　　　　　　　　　　　,A  .     ,
おつかれさま　　　　　　　　　　　　　　おつかれさま　　　　　　　　　　　　　　,A  .     ,
お疲れさまでした　　　　　　　　　　　　おつかれさまでした　　　　　　　　　　　,A  .     ,
お疲れさまです　　　　　　　　　　　　　おつかれさまです　　　　　　　　　　　　,A  .     ,
お疲れでした　　　　　　　　　　　　　　おつかれでした　　　　　　　　　　　　　,A  .     ,
